Customer Name,Account,VIN,Term,Garaging State,Vehicle Yr,Make,Model,Desc,Contract Date,Maturity Date                                                                                                                                                                                                                                                                                                                           
Placeholder1,9000000000,XXXXXXXXXXXXXXXXX,39,NJ,2020,KIA,OPTIMA,2020 Kia Optima 4dr Sdn Se,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                           
Placeholder2,9000000001,XXXXXXXXXXXXXXXXX,39,NJ,2020,KIA,FORTE,2020 Kia Forte 4dr Sdn Lxs At,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                        
Placeholder3,9000000002,XXXXXXXXXXXXXXXXX,39,NY,2019,KIA,NIRO EV,2019 Kia Niro_Ev 4dr Wgn Ex,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                        
Placeholder4,9000000003,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,SOUL,2020 Kia Soul 4dr Wgn Lx At,26-Feb-20,26-MAY-23                                                                                                                                                                                                                                                                                                         
Placeholder5,9000000004,XXXXXXXXXXXXXXXXX,39,FL,2020,HYUNDAI,SANTA FE,2020 Hyundai Santa_Fe 4dr Wgn Limited 2.0t,13-Feb-20,13-FEB-23                                                                                                                                                                                                                                                                                      
Placeholder6,9000000005,XXXXXXXXXXXXXXXXX,39,CA,2020,HYUNDAI,ELANTRA GT,2020 Hyundai Elantra_Gt 5dr Hb N Line At,29-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                         
Placeholder7,9000000006,XXXXXXXXXXXXXXXXX,39,NY,2019,HYUNDAI,SONATA,2019 Hyundai Sonata 4dr Sdn Se,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                      
Placeholder8,9000000007,XXXXXXXXXXXXXXXXX,39,NY,2020,HYUNDAI,PALISADE,2020 Hyundai Palisade 4dr Wgn Limited,1-Mar-20,01-JUN-24                                                                                                                                                                                                                                                                                             
Placeholder9,9000000008,XXXXXXXXXXXXXXXXX,39,NJ,2019,HYUNDAI,IONIQ PHEV,2019 Hyundai Ioniq_Phev 5dr Hb Plug-In,29-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                         
Placeholder10,9000000009,XXXXXXXXXXXXXXXXX,39,AZ,2020,HYUNDAI,TUCSON,2020 Hyundai Tucson Se,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                          
Placeholder11,9000000010,XXXXXXXXXXXXXXXXX,39,FL,2019,HYUNDAI,SONATA,2019 Hyundai Sonata 4dr Sdn Se,17-Feb-20,17-FEB-23                                                                                                                                                                                                                                                                                                    
Placeholder12,9000000011,XXXXXXXXXXXXXXXXX,39,FL,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Ex,26-Feb-20,26-MAY-23                                                                                                                                                                                                                                                                                                      
Placeholder13,9000000012,XXXXXXXXXXXXXXXXX,39,PA,2020,HYUNDAI,TUCSON,2020 Hyundai Tucson 4dr Wgn Sel,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                      
Placeholder14,9000000013,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,TELLURIDE,2020 Kia Telluride 4dr Wgn Ex,1-Mar-20,01-JUN-23                                                                                                                                                                                                                                                                                                       
Placeholder15,9000000014,XXXXXXXXXXXXXXXXX,39,FL,2020,HYUNDAI,TUCSON,2020 Hyundai Tucson 4dr Wgn Value,29-Feb-20,29-APR-23                                                                                                                                                                                                                                                                                     
Placeholder16,9000000015,XXXXXXXXXXXXXXXXX,39,CA,2020,KIA,FORTE,2020 Kia Forte 4dr Sdn Gt-Line At,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                   
Placeholder17,9000000016,XXXXXXXXXXXXXXXXX,39,WI,2020,KIA,FORTE,2020 Kia Forte 4dr Sdn Lxs At,25-Feb-20,25-MAY-23                                                                                                                                                                                                                                                                                                         
Placeholder18,9000000017,XXXXXXXXXXXXXXXXX,39,FL,2020,HYUNDAI,KONA,2020 Hyundai Kona 4dr Wgn Sel,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                      
Placeholder19,9000000018,XXXXXXXXXXXXXXXXX,39,CA,2020,KIA,SORENTO,2020 Kia Sorento 4dr Wgn Lx Gdi,1-Mar-20,01-AUG-23                                                                                                                                                                                                                                                                                                      
